Rank,Breed
1,Retrievers (Labrador)
2,German Shepherd Dogs
3,Retrievers (Golden)
4,Bulldogs
5,Beagles
6,Yorkshire Terriers
7,Poodles
8,Boxers
9,French Bulldogs
10,Rottweilers
11,Dachshunds
12,Pointers (German Shorthaired)
13,Siberian Huskies
14,Doberman Pinschers
15,Great Danes
16,Miniature Schnauzers
17,Shih Tzu
18,Australian Shepherds
19,Cavalier King Charles Spaniels
20,Pomeranians
21,Shetland Sheepdogs
22,Pembroke Welsh Corgis
23,Boston Terriers
24,Chihuahuas
25,Havanese
26,Mastiffs
27,Brittanys
28,Spaniels (English Springer)
29,Maltese
30,Spaniels (Cocker)
31,Coton de Tulear
32,Bernese Mountain Dogs
33,Pugs
34,Vizslas
35,Weimaraners
36,Collies
37,Newfoundlands
38,West Highland White Terriers
39,Rhodesian Ridgebacks
40,Border Collies
41,Retrievers (Chesapeake Bay)
42,Basset Hounds
43,Papillons
44,Bichons Frises
45,Bullmastiffs
46,Akitas
47,Shiba Inu
48,Cane Corso
49,Soft Coated Wheaten Terriers
50,Bloodhounds
51,St. Bernards
52,Portuguese Water Dogs
53,Bull Terriers
54,Alaskan Malamutes
55,Australian Cattle Dogs
56,Whippets
57,Airedale Terriers
58,Chinese Shar-Pei
59,Scottish Terriers
60,Belgian Malinois
61,Miniature Pinschers
62,Spaniels (English Cocker)
63,Dogues de Bordeaux
64,Boerboels
65,Chinese Crested
66,Dalmatians
67,Lhasa Apsos
68,Samoyeds
69,Cairn Terriers
70,Chow Chows
71,Pointers (German Wirehaired)
72,Irish Wolfhounds
73,Setters (Irish)
74,Italian Greyhounds
75,Great Pyrenees
76,Wirehaired Pointing Griffons
77,Old English Sheepdogs
78,Cardigan Welsh Corgis
79,Staffordshire Bull Terriers
80,Greater Swiss Mountain Dogs
81,Bouviers des Flandres
82,Pekingese
83,Giant Schnauzers
84,American Staffordshire Terriers
85,Border Terriers
86,Basenjis
87,Keeshonden
88,Tibetan Terriers
89,Setters (English)
90,Standard Schnauzers
91,Brussels Griffons
92,Retrievers (Flat-Coated)
93,Japanese Chin
94,Anatolian Shepherd Dogs
95,Fox Terriers (Wire)
96,Bergamasco
97,Norwich Terriers
98,Afghan Hounds
99,Retrievers (Nova Scotia Duck Tolling)
100,Setters (Gordon)
101,Silky Terriers
102,Borzois
103,Norwegian Elkhounds
104,Leonbergers
105,Russell Terriers
106,Welsh Terriers
107,Wirehaired Vizslas
108,Spaniels (Boykin)
109,Schipperkes
110,Belgian Tervuren
111,Rat Terriers
112,Treeing Walker Coonhounds
113,Spanish Water Dogs
114,Neapolitan Mastiffs
115,Toy Fox Terriers
116,Parson Russell Terriers
117,Cirnechi dell’Etna
118,Spinoni Italiani
119,Pointers
120,American Eskimo Dogs
121,Bearded Collies
122,Tibetan Spaniels
123,Belgian Sheepdogs
124,Fox Terriers (Smooth)
125,Irish Terriers
126,Black and Tan Coonhounds
127,Black Russian Terriers
128,Kerry Blue Terriers
129,Miniature Bull Terriers
130,Bluetick Coonhounds
131,Norfolk Terriers
132,Briards
133,Spaniels (Welsh Springer)
134,Salukis
135,Tibetan Mastiffs
136,Manchester Terriers
137,Spaniels (Field)
138,English Toy Spaniels
139,Australian Terriers
140,Bedlington Terriers
141,German Pinschers
142,Xoloitzcuintli
143,Spaniels (Clumber)
144,Affenpinschers
145,Beaucerons
146,Icelandic Sheepdogs
147,Greyhounds
148,Redbone Coonhounds
149,Lakeland Terriers
150,Petits Bassets Griffons Vendeens
151,Pulik
152,Spaniels (Irish Water)
153,Entlebucher Mountain Dogs
154,Plotts
155,Setters (Irish Red and White)
156,American English Coonhounds
157,Scottish Deerhounds
158,Swedish Vallhunds
159,Ibizan Hounds
160,Spaniels (American Water)
161,Kuvaszok
162,Glen of Imaal Terriers
163,Retrievers (Curly-Coated)
164,Pharaoh Hounds
165,Lowchen
166,Portuguese Podengo Pequenos
167,Dandie Dinmont Terriers
168,Komondorok
169,Sealyham Terriers
170,Polish Lowland Sheepdogs
171,Chinooks
172,Norwegian Buhunds
173,Finnish Lapphunds
174,Finnish Spitz
175,Spaniels (Sussex)
176,Canaan Dogs
177,Skye Terriers
178,Pyrenean Shepherds
179,Otterhounds
180,American Foxhounds
181,Harriers
182,Cesky Terriers
183,English Foxhounds
184,Norwegian Lundehunds
