Rank,Breed
1,Retrievers (Labrador)
2,German Shepherd Dogs
3,Retrievers (Golden)
4,French Bulldogs
5,Bulldogs
6,Poodles
7,Beagles
8,Rottweilers
9,Pointers (German Shorthaired)
10,Pembroke Welsh Corgis
11,Dachshunds
12,Yorkshire Terriers
13,Australian Shepherds
14,Boxers
15,Siberian Huskies
16,Cavalier King Charles Spaniels
17,Great Danes
18,Miniature Schnauzers
19,Doberman Pinschers
20,Shih Tzu
21,Boston Terriers
22,Havanese
23,Bernese Mountain Dogs
24,Pomeranians
25,Shetland Sheepdogs
26,Brittanys
27,Spaniels (English Springer)
28,Spaniels (Cocker)
29,Miniature American Shepherds
30,Cane Corso
31,Pugs
32,Mastiffs
33,Border Collies
34,Vizslas
35,Chihuahuas
36,Maltese
37,Basset Hounds
38,Collies
39,Weimaraners
40,Newfoundlands
41,Belgian Malinois
42,Rhodesian Ridgebacks
43,Bichons Frises
44,West Highland White Terriers
45,Shiba Inu
46,Retrievers (Chesapeake Bay)
47,Akitas
48,St. Bernards
49,Portuguese Water Dogs
50,Spaniels (English Cocker)
51,Bloodhounds
52,Bullmastiffs
53,Papillons
54,Soft Coated Wheaten Terriers
55,Australian Cattle Dogs
56,Dogo Argentinos
57,Scottish Terriers
58,Whippets
59,Samoyeds
60,Dalmatians
61,Airedale Terriers
62,Bull Terriers
63,Wirehaired Pointing Griffons
64,Pointers (German Wirehaired)
65,Alaskan Malamutes
66,Chinese Shar-Pei
67,Cardigan Welsh Corgis
68,Italian Greyhounds
69,Dogues de Bordeaux
70,Great Pyrenees
71,Old English Sheepdogs
72,Giant Schnauzers
73,Cairn Terriers
74,Greater Swiss Mountain Dogs
75,Miniature Pinschers
76,Russell Terriers
77,Irish Wolfhounds
78,Chow Chows
79,Lhasa Apsos
80,Setters (Irish)
81,Chinese Crested
82,Coton de Tulear
83,Staffordshire Bull Terriers
84,Pekingese
85,Border Terriers
86,American Staffordshire Terriers
87,Retrievers (Nova Scotia Duck Tolling)
88,Basenjis
89,Keeshonden
90,Spaniels (Boykin)
91,Lagotti Romagnoli
92,Rat Terriers
93,Bouviers des Flandres
94,Norwegian Elkhounds
95,Barbets
96,Anatolian Shepherd Dogs
97,Leonbergers
98,Brussels Griffons
99,Standard Schnauzers
100,Setters (English)
101,Fox Terriers (Wire)
102,Neapolitan Mastiffs
103,Tibetan Terriers
104,Norwich Terriers
105,Belgian Tervuren
106,Retrievers (Flat-Coated)
107,Borzois
108,Schipperkes
109,Toy Fox Terriers
110,Japanese Chin
111,Silky Terriers
112,Welsh Terriers
113,Afghan Hounds
114,Miniature Bull Terriers
115,Setters (Gordon)
116,Black Russian Terriers
117,Pointers
118,Spinoni Italiani
119,Tibetan Spaniels
120,Parson Russell Terriers
121,Irish Terriers
122,American Eskimo Dogs
123,Beaucerons
124,Fox Terriers (Smooth)
125,German Pinschers
126,American Hairless Terriers
127,Salukis
128,Belgian Sheepdogs
129,Boerboels
130,Tibetan Mastiffs
131,Treeing Walker Coonhounds
132,Spaniels (Welsh Springer)
133,Norfolk Terriers
134,Icelandic Sheepdogs
135,Kerry Blue Terriers
136,Spaniels (Clumber)
137,Briards
138,Bearded Collies
139,Xoloitzcuintli
140,Bluetick Coonhounds
141,English Toy Spaniels
142,Manchester Terriers
143,Black and Tan Coonhounds
144,Australian Terriers
145,Redbone Coonhounds
146,Spanish Water Dogs
147,Wirehaired Vizslas
148,Berger Picards
149,Portuguese Podengo Pequenos
150,Lakeland Terriers
151,Scottish Deerhounds
152,Affenpinschers
153,Bedlington Terriers
154,Petits Bassets Griffons Vendeens
155,Spaniels (Field)
156,Sealyham Terriers
157,Setters (Irish Red and White)
158,Pumi
159,Nederlandse Kooikerhondjes
160,Lowchen
161,Swedish Vallhunds
162,Puli
163,Pharaoh Hounds
164,Greyhounds
165,Retrievers (Curly-Coated)
166,Spaniels (American Water)
167,Finnish Lapphunds
168,Kuvaszok
169,Entlebucher Mountain Dogs
170,Glen of Imaal Terriers
171,Norwegian Buhunds
172,Spaniels (Irish Water)
173,Ibizan Hounds
174,Otterhounds
175,Polish Lowland Sheepdogs
176,Dandie Dinmont Terriers
177,American English Coonhounds
178,Spaniels (Sussex)
179,Plott Hounds
180,Grand Basset Griffon Vendeens
181,Canaan Dogs
182,Bergamasco Sheepdogs
183,Komondorok
184,Pyrenean Shepherds
185,Finnish Spitz
186,Chinooks
187,Cirnechi dell’Etna
188,Harriers
189,Skye Terriers
190,Cesky Terriers
191,American Foxhounds
192,Azawakhs
193,Sloughis
194,Norwegian Lundehunds
195,English Foxhounds
