Rank,Breed
1,Retrievers (Labrador)
2,German Shepherd Dogs
3,Retrievers (Golden)
4,Beagles
5,Bulldogs
6,Yorkshire Terriers
7,Boxers
8,Poodles
9,Rottweilers
10,Dachshunds
11,French Bulldogs
12,Doberman Pinschers
13,Pointers (German Shorthaired)
14,Siberian Huskies
15,Shih Tzu
16,Great Danes
17,Miniature Schnauzers
18,Cavalier King Charles Spaniels
19,Pomeranians
20,Australian Shepherds
21,Shetland Sheepdogs
22,Chihuahuas
23,Boston Terriers
24,Pembroke Welsh Corgis
25,Havanese
26,Mastiffs
27,Maltese
28,Spaniels (English Springer)
29,Spaniels (Cocker)
30,Brittanys
31,Pugs
32,Bernese Mountain Dogs
33,Weimaraners
34,Vizslas
35,Collies
36,West Highland White Terriers
37,Newfoundlands
38,Papillons
39,Rhodesian Ridgebacks
40,Bichons Frises
41,Bullmastiffs
42,Basset Hounds
43,Retrievers (Chesapeake Bay)
44,Border Collies
45,Akitas
46,Shiba Inu
47,St. Bernards
48,Bloodhounds
49,Portuguese Water Dogs
50,Cane Corso
51,Soft Coated Wheaten Terriers
52,Bull Terriers
53,Miniature Pinschers
54,Chinese Shar-Pei
55,Scottish Terriers
56,Airedale Terriers
57,Alaskan Malamutes
58,Australian Cattle Dogs
59,Whippets
60,Belgian Malinois
61,Cairn Terriers
62,Spaniels (English Cocker)
63,Lhasa Apsos
64,Dalmatians
65,Dogues de Bordeaux
66,Italian Greyhounds
67,Samoyeds
68,Chinese Crested
69,Great Pyrenees
70,Chow Chows
71,Pointers (German Wirehaired)
72,Setters (Irish)
73,Irish Wolfhounds
74,Greater Swiss Mountain Dogs
75,Cardigan Welsh Corgis
76,American Staffordshire Terriers
77,Pekingese
78,Old English Sheepdogs
79,Staffordshire Bull Terriers
80,Wirehaired Pointing Griffons
81,Border Terriers
82,Bouviers des Flandres
83,Giant Schnauzers
84,Brussels Griffons
85,Basenjis
86,Keeshonden
87,Japanese Chin
88,Tibetan Terriers
89,Norwich Terriers
90,Standard Schnauzers
91,Setters (English)
92,Silky Terriers
93,Anatolian Shepherd Dogs
94,Retrievers (Flat-Coated)
95,Afghan Hounds
96,Fox Terriers (Wire)
97,Retrievers (Nova Scotia Duck Tolling)
98,Leonbergers
99,Borzois
100,Parson Russell Terriers
101,Treeing Walker Coonhounds
102,Russell Terriers
103,Norwegian Elkhounds
104,Welsh Terriers
105,Setters (Gordon)
106,Tibetan Spaniels
107,Toy Fox Terriers
108,Belgian Tervuren
109,Schipperkes
110,American Eskimo Dogs
111,Neapolitan Mastiffs
112,Bearded Collies
113,Black and Tan Coonhounds
114,Pointers
115,Salukis
116,Fox Terriers (Smooth)
117,Spinoni Italiani
118,Black Russian Terriers
119,Belgian Sheepdogs
120,Manchester Terriers
121,Spaniels (Boykin)
122,Australian Terriers
123,Irish Terriers
124,Spaniels (Welsh Springer)
125,Miniature Bull Terriers
126,Kerry Blue Terriers
127,Briards
128,Bluetick Coonhounds
129,Norfolk Terriers
130,German Pinschers
131,Spaniels (Clumber)
132,Tibetan Mastiffs
133,Redbone Coonhounds
134,Lakeland Terriers
135,English Toy Spaniels
136,Pulik
137,Bedlington Terriers
138,Petits Bassets Griffons Vendeens
139,Xoloitzcuintli
140,Spaniels (Field)
141,Spaniels (Irish Water)
142,Icelandic Sheepdogs
143,Affenpinschers
144,Spaniels (American Water)
145,Setters (Irish Red and White)
146,American English Coonhounds
147,Swedish Vallhunds
148,Greyhounds
149,Plotts
150,Kuvaszok
151,Ibizan Hounds
152,Beaucerons
153,Portuguese Podengo Pequenos
154,Lowchen
155,Entlebucher Mountain Dogs
156,Chinooks
157,Polish Lowland Sheepdogs
158,Sealyham Terriers
159,Komondorok
160,Pharaoh Hounds
161,Skye Terriers
162,Spaniels (Sussex)
163,Retrievers (Curly-Coated)
164,Canaan Dogs
165,Scottish Deerhounds
166,Norwegian Buhunds
167,Glen of Imaal Terriers
168,Dandie Dinmont Terriers
169,Pyrenean Shepherds
170,Finnish Spitz
171,Finnish Lapphunds
172,Otterhounds
173,Harriers
174,Cesky Terriers
175,Norwegian Lundehunds
176,American Foxhounds
177,English Foxhounds
