Rank,Breed
1,Retrievers (Labrador)
2,German Shepherd Dogs
3,Retrievers (Golden)
4,French Bulldogs
5,Bulldogs
6,Beagles
7,Poodles
8,Rottweilers
9,Yorkshire Terriers
10,Pointers (German Shorthaired)
11,Boxers
12,Siberian Huskies
13,Dachshunds
14,Great Danes
15,Pembroke Welsh Corgis
16,Doberman Pinschers
17,Australian Shepherds
18,Miniature Schnauzers
19,Cavalier King Charles Spaniels
20,Shih Tzu
21,Boston Terriers
22,Pomeranians
23,Havanese
24,Shetland Sheepdogs
25,Bernese Mountain Dogs
26,Brittanys
27,Spaniels (English Springer)
28,Mastiffs
29,Spaniels (Cocker)
30,Vizslas
31,Pugs
32,Chihuahuas
33,Maltese
34,Weimaraners
35,Miniature American Shepherds
36,Newfoundlands
37,Cane Corso
38,Border Collies
39,Basset Hounds
40,Collies
41,Rhodesian Ridgebacks
42,West Highland White Terriers
43,Retrievers (Chesapeake Bay)
44,Belgian Malinois
45,Shiba Inu
46,Bichons Frises
47,Akitas
48,St. Bernards
49,Soft Coated Wheaten Terriers
50,Bloodhounds
51,Bullmastiffs
52,Spaniels (English Cocker)
53,Papillons
54,Portuguese Water Dogs
55,Airedale Terriers
56,Australian Cattle Dogs
57,Samoyeds
58,Scottish Terriers
59,Alaskan Malamutes
60,Bull Terriers
61,Whippets
62,Pointers (German Wirehaired)
63,Dalmatians
64,Chinese Shar-Pei
65,Wirehaired Pointing Griffons
66,Great Pyrenees
67,Dogues de Bordeaux
68,Cardigan Welsh Corgis
69,Cairn Terriers
70,Old English Sheepdogs
71,Miniature Pinschers
72,Setters (Irish)
73,Irish Wolfhounds
74,Italian Greyhounds
75,Greater Swiss Mountain Dogs
76,Chow Chows
77,Lhasa Apsos
78,Russell Terriers
79,Chinese Crested
80,Giant Schnauzers
81,Coton de Tulear
82,Staffordshire Bull Terriers
83,American Staffordshire Terriers
84,Basenjis
85,Bouviers des Flandres
86,Anatolian Shepherd Dogs
87,Keeshonden
88,Pekingese
89,Retrievers (Nova Scotia Duck Tolling)
90,Standard Schnauzers
91,Norwegian Elkhounds
92,Border Terriers
93,Afghan Hounds
94,Brussels Griffons
95,Setters (English)
96,Retrievers (Flat-Coated)
97,Rat Terriers
98,Spaniels (Boykin)
99,Fox Terriers (Wire)
100,Leonbergers
101,Tibetan Terriers
102,Borzois
103,Belgian Tervuren
104,Setters (Gordon)
105,Norwich Terriers
106,Silky Terriers
107,Neapolitan Mastiffs
108,Japanese Chin
109,Welsh Terriers
110,Schipperkes
111,Spinoni Italiani
112,Toy Fox Terriers
113,Pointers
114,Irish Terriers
115,Miniature Bull Terriers
116,Black Russian Terriers
117,Lagotti Romagnoli
118,American Eskimo Dogs
119,Parson Russell Terriers
120,Belgian Sheepdogs
121,Tibetan Spaniels
122,Fox Terriers (Smooth)
123,Salukis
124,Boerboels
125,Bearded Collies
126,American Hairless Terriers
127,Briards
128,Norfolk Terriers
129,Kerry Blue Terriers
130,Black and Tan Coonhounds
131,Treeing Walker Coonhounds
132,Bluetick Coonhounds
133,Spaniels (Welsh Springer)
134,English Toy Spaniels
135,Manchester Terriers
136,German Pinschers
137,Australian Terriers
138,Lakeland Terriers
139,Redbone Coonhounds
140,Spaniels (Clumber)
141,Beaucerons
142,Pulik
143,Xoloitzcuintli
144,Icelandic Sheepdogs
145,Spaniels (Field)
146,Berger Picards
147,Affenpinschers
148,Spanish Water Dogs
149,Swedish Vallhunds
150,Sealyham Terriers
151,Bedlington Terriers
152,Entlebucher Mountain Dogs
153,Tibetan Mastiffs
154,Setters (Irish Red and White)
155,Wirehaired Vizslas
156,Greyhounds
157,Kuvaszok
158,Glen of Imaal Terriers
159,Portuguese Podengo Pequenos
160,Petits Bassets Griffons Vendeens
161,Spaniels (Sussex)
162,Pumi
163,Komondorok
164,Spaniels (Irish Water)
165,Ibizan Hounds
166,Plotts
167,Spaniels (American Water)
168,Scottish Deerhounds
169,Lowchen
170,Norwegian Buhunds
171,Retrievers (Curly-Coated)
172,Skye Terriers
173,Finnish Lapphunds
174,Pharaoh Hounds
175,Canaan Dogs
176,Polish Lowland Sheepdogs
177,Finnish Spitz
178,American English Coonhounds
179,Chinooks
180,Pyrenean Shepherds
181,Bergamasco Sheepdogs
182,Dandie Dinmont Terriers
183,Harriers
184,Cirnechi dell’Etna
185,Cesky Terriers
186,Otterhounds
187,American Foxhounds
188,Sloughis
189,English Foxhounds
190,Norwegian Lundehunds
