Rank,Breed
1,Retrievers (Labrador)
2,German Shepherd Dogs
3,Retrievers (Golden)
4,French Bulldogs
5,Bulldogs
6,Beagles
7,Poodles
8,Rottweilers
9,Pointers (German Shorthaired)
10,Yorkshire Terriers
11,Boxers
12,Dachshunds
13,Pembroke Welsh Corgis
14,Siberian Huskies
15,Australian Shepherds
16,Great Danes
17,Doberman Pinschers
18,Cavalier King Charles Spaniels
19,Miniature Schnauzers
20,Shih Tzu
21,Boston Terriers
22,Bernese Mountain Dogs
23,Pomeranians
24,Havanese
25,Shetland Sheepdogs
26,Brittanys
27,Spaniels (English Springer)
28,Pugs
29,Mastiffs
30,Spaniels (Cocker)
31,Vizslas
32,Cane Corso
33,Chihuahuas
34,Miniature American Shepherds
35,Border Collies
36,Weimaraners
37,Maltese
38,Collies
39,Basset Hounds
40,Newfoundlands
41,Rhodesian Ridgebacks
42,West Highland White Terriers
43,Belgian Malinois
44,Shiba Inu
45,Retrievers (Chesapeake Bay)
46,Bichons Frises
47,Akitas
48,St. Bernards
49,Bloodhounds
50,Portuguese Water Dogs
51,Bullmastiffs
52,Spaniels (English Cocker)
53,Soft Coated Wheaten Terriers
54,Papillons
55,Australian Cattle Dogs
56,Dalmatians
57,Scottish Terriers
58,Alaskan Malamutes
59,Samoyeds
60,Airedale Terriers
61,Whippets
62,Bull Terriers
63,Pointers (German Wirehaired)
64,Chinese Shar-Pei
65,Wirehaired Pointing Griffons
66,Great Pyrenees
67,Dogues de Bordeaux
68,Cardigan Welsh Corgis
69,Cairn Terriers
70,Miniature Pinschers
71,Lhasa Apsos
72,Old English Sheepdogs
73,Italian Greyhounds
74,Greater Swiss Mountain Dogs
75,Chow Chows
76,Irish Wolfhounds
77,Setters (Irish)
78,Giant Schnauzers
79,Chinese Crested
80,Staffordshire Bull Terriers
81,Coton de Tulear
82,Russell Terriers
83,Retrievers (Nova Scotia Duck Tolling)
84,Bouviers des Flandres
85,American Staffordshire Terriers
86,Rat Terriers
87,Basenjis
88,Border Terriers
89,Standard Schnauzers
90,Anatolian Shepherd Dogs
91,Retrievers (Flat-Coated)
92,Pekingese
93,Leonbergers
94,Setters (English)
95,Keeshonden
96,Tibetan Terriers
97,Norwegian Elkhounds
98,Brussels Griffons
99,Lagotti Romagnoli
100,Spaniels (Boykin)
101,Fox Terriers (Wire)
102,Neapolitan Mastiffs
103,Borzois
104,Japanese Chin
105,Schipperkes
106,Belgian Tervuren
107,Welsh Terriers
108,Norwich Terriers
109,Spinoni Italiani
110,Miniature Bull Terriers
111,Toy Fox Terriers
112,Silky Terriers
113,Afghan Hounds
114,Pointers
115,Setters (Gordon)
116,Irish Terriers
117,Parson Russell Terriers
118,Black Russian Terriers
119,Tibetan Spaniels
120,Salukis
121,Boerboels
122,American Eskimo Dogs
123,Fox Terriers (Smooth)
124,Beaucerons
125,Belgian Sheepdogs
126,Norfolk Terriers
127,Bearded Collies
128,Spaniels (Welsh Springer)
129,Kerry Blue Terriers
130,Bluetick Coonhounds
131,Tibetan Mastiffs
132,Briards
133,Manchester Terriers
134,German Pinschers
135,English Toy Spaniels
136,American Hairless Terriers
137,Treeing Walker Coonhounds
138,Black and Tan Coonhounds
139,Australian Terriers
140,Xoloitzcuintli
141,Bedlington Terriers
142,Redbone Coonhounds
143,Spaniels (Clumber)
144,Berger Picards
145,Greyhounds
146,Setters (Irish Red and White)
147,Lakeland Terriers
148,Affenpinschers
149,Spaniels (Field)
150,Nederlandse Kooikerhondjes
151,Pumi
152,Ibizan Hounds
153,Spanish Water Dogs
154,Portuguese Podengo Pequenos
155,Icelandic Sheepdogs
156,Petits Bassets Griffons Vendeens
157,Entlebucher Mountain Dogs
158,Scottish Deerhounds
159,Spaniels (Irish Water)
160,Pulik
161,Finnish Lapphunds
162,Retrievers (Curly-Coated)
163,Kuvaszok
164,Sealyham Terriers
165,Norwegian Buhunds
166,Spaniels (American Water)
167,Wirehaired Vizslas
168,Lowchen
169,Swedish Vallhunds
170,Polish Lowland Sheepdogs
171,Plotts
172,Pharaoh Hounds
173,Komondorok
174,Glen of Imaal Terriers
175,American English Coonhounds
176,Dandie Dinmont Terriers
177,Grand Basset Griffon Vendeens
178,Skye Terriers
179,Canaan Dogs
180,Spaniels (Sussex)
181,Pyrenean Shepherds
182,Otterhounds
183,Cirnechi dell’Etna
184,Finnish Spitz
185,Cesky Terriers
186,American Foxhounds
187,Bergamasco Sheepdogs
188,English Foxhounds
189,Harriers
190,Chinooks
191,Norwegian Lundehunds
192,Sloughis
